GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mcp,com.team.mcp.auth.web,AuthController,75,24,4,0,11,6,5,2,3,2
mcp,com.team.mcp.auth.web,AuthController.StateRow,9,0,0,0,4,0,1,0,1,0
mcp,com.team.mcp.audit,WebRequestLogFilter,0,44,0,0,0,10,0,3,0,3
mcp,com.team.mcp.audit,ToolCallAudit,0,36,0,0,0,13,0,3,0,3
mcp,com.team.mcp.audit,AuditService,4,38,2,2,2,10,2,3,0,3
mcp,com.team.mcp.mcp,SetTokenTool,13,57,6,6,2,15,7,3,1,3
mcp,com.team.mcp.mcp,CheckQuotaTool,0,56,0,0,0,10,0,4,0,4
mcp,com.team.mcp.mcp,InMemoryQuotaService,0,21,0,0,0,8,0,6,0,6
mcp,com.team.mcp.mcp,EchoTool,0,23,0,0,0,7,0,4,0,4
mcp,com.team.mcp.mcp,ToolRegistry,0,68,0,4,0,17,0,6,0,4
mcp,com.team.mcp.mcp,SearchTweetsTool,133,8,16,0,29,4,11,2,3,2
mcp,com.team.mcp.mcp,McpController,32,10,0,0,10,5,2,2,2,2
mcp,com.team.mcp.mcp,ListTokensTool,2,33,0,2,1,11,1,4,1,3
mcp,com.team.mcp.mcp,GetTokenTool,2,43,1,3,1,10,2,4,1,3
mcp,com.team.mcp.mcp,McpService,39,163,5,15,7,45,5,11,0,6
mcp,com.team.mcp.tools,ToolsController,89,12,4,0,20,5,4,1,2,1
mcp,com.team.mcp.scheduling,ScheduledPost,42,59,0,0,19,19,10,9,10,9
mcp,com.team.mcp.scheduling,ScheduledPost.Status,0,21,0,0,0,4,0,1,0,1
mcp,com.team.mcp.scheduling,SchedulingService,29,109,7,11,5,29,7,6,0,4
mcp,com.team.mcp.scheduling,SchedulerRunner,6,23,1,1,1,10,1,3,0,3
mcp,com.team.mcp.config,ClockConfig,0,5,0,0,0,2,0,2,0,2
mcp,com.team.mcp.config,SchedulingConfig,0,3,0,0,0,1,0,1,0,1
mcp,com.team.mcp.config,FakeTwitterConfig,0,7,0,0,0,2,0,2,0,2
mcp,com.team.mcp.search,SearchService,49,329,15,39,7,78,15,20,1,7
mcp,com.team.mcp.search,SearchController,33,6,4,0,7,3,4,1,2,1
mcp,com.team.mcp.search,TweetEntity,30,0,0,0,12,0,6,0,6,0
mcp,com.team.mcp.search,SearchService.Scored,0,21,0,0,0,8,0,4,0,4
mcp,com.team.mcp.search,TweetIngestor,43,9,4,0,9,4,3,1,1,1
mcp,com.team.mcp.search,SearchService.new RowMapper() {...},31,0,0,0,6,0,2,0,2,0
mcp,com.team.mcp.search,SeedTweetsRunner,22,0,0,0,8,0,3,0,3,0
mcp,com.team.mcp.search,SearchQuery.Clause,0,43,4,4,0,11,4,5,0,5
mcp,com.team.mcp.search,SearchQuery,6,185,4,24,1,43,4,15,0,5
mcp,com.team.mcp.twitter.dto,Tweet,0,15,0,0,0,1,0,1,0,1
mcp,com.team.mcp.timeline,TimelineService,4,43,1,5,0,13,1,5,0,3
mcp,com.team.mcp.analytics,AnalyticsService,72,249,8,20,15,49,10,12,3,5
mcp,com.team.mcp.analytics,AnalyticsService.Summary,0,12,0,0,0,1,0,1,0,1
mcp,com.team.mcp.analytics,AnalyticsController,25,9,0,0,6,3,3,1,3,1
mcp,com.team.mcp.auth,TokenCredentialRepository,7,0,0,0,1,0,1,0,1,0
mcp,com.team.mcp.auth,TokenService,12,118,10,20,4,25,10,9,0,4
mcp,com.team.mcp.auth,TokenCredential,22,0,0,0,10,0,5,0,5,0
mcp,com.team.mcp.auth,DbTokenStore,53,15,0,0,13,4,5,1,5,1
mcp,com.team.mcp.auth,OAuthToken,55,3,0,0,23,2,12,1,12,1
mcp,com.team.mcp.auth,TwitterOAuthClient,0,28,0,0,0,11,0,4,0,4
mcp,com.team.mcp.auth,TenantAccount,18,3,0,0,7,2,4,1,4,1
mcp,com.team.mcp.auth,TokenService.Stored,0,27,0,0,0,10,0,5,0,5
mcp,com.team.mcp.auth,InMemoryTokenStore,49,0,8,0,10,0,8,0,4,0
mcp,com.team.mcp.auth,SecretCryptoService,7,28,2,2,3,9,3,3,1,3
mcp,com.team.mcp.auth,TokenService.TokenView,0,15,0,0,0,1,0,1,0,1
mcp,com.team.mcp.mcp.dto,McpResponse.ErrorObj,0,9,0,0,0,1,0,1,0,1
mcp,com.team.mcp.mcp.dto,McpResponse,0,35,0,0,0,3,0,3,0,3
mcp,com.team.mcp.mcp.dto,McpRequest,0,15,0,0,0,1,0,1,0,1
mcp,com.team.mcp.twitter,TwitterClient.TwitterException,5,4,0,0,2,2,1,1,1,1
mcp,com.team.mcp.twitter,FakeTwitterClient,7,67,0,2,2,12,1,3,1,2
mcp,com.team.mcp,McpApplication,6,3,0,0,3,2,2,1,2,1
mcp,com.team.mcp.security,FixedTokenProvider,0,5,0,0,0,2,0,2,0,2
